Year,FED Id,FED Name,Winning Pid,Population,Total Ballots,Valid Ballots,LIB,CPC,NDP,BQ,GRN,OTH
2006,24026,Jonquière--Alma,CPC,98167,52772,52337,1550,27262,2028,20569,928,0
2006,24027,Lac-Saint-Louis,LIB,101919,53398,53123,25588,14164,5702,4064,3605,0
2006,24028,La Pointe-de-l'Île,BQ ,98878,49315,48576,6855,7402,3407,29368,1544,0
2006,24029,LaSalle--Émard,LIB,99767,47595,46996,22751,5994,2805,13501,1512,433
2006,24030,Laurentides--Labelle,BQ ,96133,53093,52424,7616,10666,3382,28217,2543,0
2006,24031,Laurier--Sainte-Marie,BQ ,100488,49345,48953,6095,3124,8165,26773,4064,732
2006,24032,Laval,BQ ,98831,50499,49679,12698,9236,4047,22032,1666,0
2006,24033,Laval--Les Îles,LIB,100137,53735,53026,20849,9055,3817,17537,1557,211
2006,24034,Lévis--Bellechasse,CPC,102310,56453,55902,4581,25940,2590,16223,2293,4275
2006,24035,Longueuil--Pierre-Boucher,BQ ,96403,50303,49681,6260,9331,4273,27425,1995,397
2006,24036,Lotbinière--Chutes-de-la-Chaudière,CPC,94834,52478,51965,2820,28236,3529,15402,1978,0
2006,24037,Louis-Hébert,CPC,98156,59395,58981,8852,20332,5351,20101,2517,1828
